,month,scaled_scores
0,201201,0.1804056795131844
1,201202,0.01967853042479895
2,201203,0.11412667946257192
3,201204,-0.05076923076923072
4,201205,-0.06692372170997488
5,201206,0.23513489606368881
6,201207,-0.245938242280285
7,201208,-0.2346002317497103
8,201209,-0.5503117268678871
9,201210,0.7724942084942082
10,201211,-0.1432743362831858
11,201301,0.4355772190867111
12,201302,0.11379310344827584
13,201303,-0.08463169642857132
14,201304,0.6774358974358974
15,201305,-0.17429181494661922
16,201306,-0.4199304750869063
17,201307,-0.3665842515452837
18,201308,0.2648312710911134
19,201309,-0.1870517928286853
20,201310,-0.30402099737532806
21,201311,0.6109331373989716
22,201401,0.4639181157825225
23,201402,-0.20295719844357976
24,201403,0.4817463617463618
25,201404,-0.4063127598337064
26,201405,-0.526076058772688
27,201406,-0.4044063047285465
28,201407,-0.3995622895622896
29,201408,-0.46988596926127907
30,201409,-0.3961252215002954
31,201410,-0.10034321372854908
32,201411,0.24819098856758567
33,201501,0.6701004378058201
34,201502,0.4168722073279711
35,201503,0.4666384778012686
36,201504,-0.022495274102079316
37,201505,0.33867938371239903
38,201506,-0.5995742092457422
39,201507,-0.09581831290555157
40,201508,-0.1299476439790577
41,201509,-0.12687563195146612
42,201510,0.268890479599141
43,201511,-0.4868181818181818
44,201601,-0.8014862914862916
45,201602,-0.03888997078870506
46,201603,-0.5690920634920635
47,201604,-0.6219867549668874
48,201605,0.6158904109589041
49,201606,0.5278054429646786
50,201607,-0.5198917162966974
51,201611,0.48416596104995774
52,201701,-0.22298507462686573
53,201702,-0.26622594967932917
54,201703,0.23028242677824282
55,201704,-0.4984215471343564
56,201705,0.2388204862907398
57,201706,0.0332822966507176
58,201707,0.3366632962588473
59,201708,0.5435165723524654
60,201709,-0.2675486381322958
61,201710,0.9268722193481633
62,201711,0.301383760530561
63,201801,0.31381142098273573
64,201802,-0.1911058601134216
65,201803,0.3221041445270988
66,201804,0.48491366906474814
67,201805,-0.2259689922480621
68,201806,0.1457483983692485
69,201807,-0.3832456703014753
70,201808,-0.3537272727272729
71,201809,0.25751724137931037
72,201810,0.5810678531701889
73,201811,-0.28597718631178703
74,201901,-0.146375358166189
75,201902,0.08109090909090926
76,201903,0.3195854181558255
77,201904,0.1775905395417588
78,201905,-0.36558683960771915
79,201906,0.7730367766360194
80,201907,-0.4236900369003691
81,201908,-0.6228634555899251
82,201909,0.29595102754700486
83,201910,-0.5013991500490357
84,201911,0.08712694877505561
85,202001,0.7976883320281912
86,202002,0.2948260013131974
87,202003,0.3483868994208335
88,202004,-0.42047904191616775
89,202005,-0.4627218393608586
90,202006,-0.0021389689401218443
91,202007,-0.5949511854951184
92,202008,0.2705530253741055
93,202009,0.1276557482337825
94,202010,-0.1356003039513679
95,202011,-0.16811414843664696
96,202101,0.23774619516562204
97,202102,0.17521083567595208
98,202103,0.7568648052519018
99,202104,-0.1750104602510461
100,202105,-0.2176477627068538
101,202106,-0.30133480241940086
102,202107,-0.25880275642214756
103,202108,-0.41604774535809014
104,202109,0.024490196903989882
105,202110,0.5634970728254454
106,202111,0.7064842238281407
107,202201,0.7101497649039301
108,202202,0.4518007492303699
109,202203,-0.2157847183720404
110,202204,0.40109215199337755
111,202205,0.1666666666666666
112,202206,0.07789912924996277
113,202207,0.24576663006415075
114,202208,-0.42258815811054623
115,202209,0.18713028423026976
116,202210,-0.41158401765038727
117,202211,-0.270395913154534
