Date,returns,msci,sentiment
2012-01-01,0.6270383460623334,0.0992217898832683,0.4600142610707827
2012-02-01,0.8219541598578562,0.005836575875486361,0.5512842022815704
2012-03-01,0.6431248000294003,0.01750972762645936,0.3838704407673549
2012-04-01,0.4096417107196212,0.0038910505836575737,0.4540359063211119
2012-05-01,0.2702140455394491,0.05642023346303482,0.4244958456432227
2012-06-01,0.3900450562062401,-0.11867704280155622,0.6046452526306538
2012-07-01,0.5821608520445082,-0.017509727626459304,0.6289125699147808
2012-08-01,0.5379673012102428,0.038910505836575904,0.5998512979918846
2012-09-01,0.4860242942272827,0.07782101167315175,0.419215029458977
2012-10-01,0.1834047072642516,0.08365758754863806,0.0070727372224217
2012-11-01,0.4564768771265838,0.001945525291829009,0.5484573886357936
2012-12-01,0.3227486045892069,-0.19066147859922183,0.4202325381448814
2013-01-01,0.142006332655502,0.017509727626459137,0.7207388981439098
2013-02-01,0.4191163089114017,0.07392996108949412,0.2278256558350662
2013-03-01,0.4081932418924301,0.01945525291828787,0.4340114076014698
2013-04-01,0.3547484598054667,-0.04280155642023331,0.0776603965408648
2013-05-01,0.4600095362713599,0.15758754863813218,0.1573523315187568
2013-06-01,0.060136351420164,-0.0077821011673153695,0.6884971712268846
2013-07-01,0.5522648987383356,0.01945525291828809,0.6844042098250855
2013-08-01,0.597051289615109,-0.05836575875486383,0.3006071177775751
2013-09-01,0.3963330393058062,-0.08949416342412442,0.6495994976639592
2013-10-01,0.6755708745112408,-0.08365758754863806,0.4959097246365803
2013-11-01,0.548422448800377,0.036964980544746895,0.8376548553802918
2013-12-01,0.3647729741365469,0.14396887159533073,0.5463308388695567
2014-01-01,0.1577658620136006,-0.02529182879377423,0.7390118958064092
2014-02-01,0.5241837420492049,0.0077821011673151474,0.3787772490128034
2014-03-01,0.4266326502176878,-0.03112840466926059,0.726034831290179
2014-04-01,0.5602116108842201,0.07976653696498026,0.1603560324246595
2014-05-01,0.6268156229222841,-0.04280155642023309,0.1537089046209143
2014-06-01,0.3966984451228059,0.011673151750972499,0.3469947195245127
2014-07-01,0.4645037594417322,-0.013618677042801508,0.1844468287210987
2014-08-01,0.4524777139027943,0.013618677042801508,0.21487325790776
2014-09-01,0.3679443628917885,0.040856031128404746,0.8146385431736183
2014-10-01,0.5434418146245887,0.04474708171206232,0.4162283604801451
2014-11-01,0.6030513793072703,0.03696498054474695,0.6161970216837942
2014-12-01,0.257293573379399,0.09338521400778199,0.7071603934241094
2015-01-01,0.5396524419341537,0.08754863813229585,0.0623406923823884
2015-02-01,0.5958393827588359,-0.052529182879377245,0.2100995326822595
2015-03-01,0.3753722130063464,-0.04669260700389111,0.7323346124092351
2015-04-01,0.3820352738786318,0.05642023346303504,0.7032657051466318
2015-05-01,0.4566792084484115,-0.10116731517509736,0.2583990590266674
2015-06-01,0.2888498448375222,0.10505836575875471,0.8606862681280392
2015-07-01,0.3283131528885521,-0.05836575875486383,0.3898635057117874
2015-08-01,0.2065709265890773,-0.02334630350194522,0.6454204419189988
2015-09-01,0.3802177718193386,-0.09143968871595343,0.6549296630964715
2015-10-01,0.6891836218993518,0.054474708171206254,0.6303705500209691
2015-11-01,0.3798221658792073,0.02529182879377423,0.6158699306902417
2015-12-01,0.1597736568786234,0.02529182879377423,0.0663758872621591
2016-01-01,0.1866317475785041,-0.011673151750972721,0.0
2016-02-01,0.3980730438874829,-0.005836575875486361,0.5104851934300381
2016-03-01,0.6971890975963597,-0.013618677042801508,0.8120368159682112
2016-04-01,0.1290081006226894,-0.03891050583657596,0.3269184341271025
2016-05-01,0.5336174823646032,0.1108949416342413,0.0688936256221047
2016-06-01,0.3448413339795403,-0.023346303501945442,0.1438198507089521
2016-07-01,0.6621047982158235,-0.06809338521400776,0.232854805322288
2016-08-01,0.5192538452154551,-0.0038910505836577958,0.7336726617113407
2016-09-01,0.5088628979799668,0.027237354085603238,0.5093235027400072
2016-10-01,0.434196023829644,-0.0778210116731517,0.3149346238030159
2016-11-01,0.3855264233086927,0.12840466926070038,0.6812038745642758
2016-12-01,0.502524726902263,0.08560311284046684,0.8762789691961982
2017-01-01,0.536731645814822,0.005836575875486472,0.1811428067802607
2017-02-01,0.6403207226212855,-0.042801556420233644,0.2959193134019022
2017-03-01,0.569998532332359,0.011673151750972832,0.5772406921741018
2017-04-01,0.480765334772329,0.0019455252918287869,0.2154876750344677
2017-05-01,0.5106854880187689,0.0019455252918287869,0.1044283268747323
2017-06-01,0.354162724442791,-0.040856031128404635,0.2771867100297961
2017-07-01,0.4669608122373946,-0.03112840466926059,0.3814327543098438
2017-08-01,0.5660116937544161,0.06614785992217886,0.2321834265306851
2017-09-01,0.3638053918522444,-0.03307392996108949,0.5373022621221341
2017-10-01,0.6295472431363492,0.10894941634241262,1.0
2017-11-01,0.4000167772278702,-0.04280155642023353,0.2789510985863513
2017-12-01,0.3964384384643727,-0.05058365758754857,0.1000037501983171
2018-01-01,0.4139888193566863,-0.0038910505836575737,0.253084451528377
2018-02-01,0.4780822850707867,0.0778210116731517,0.358610024514689
2018-03-01,0.3093622854594763,0.0330739299610896,0.222749973541358
2018-04-01,0.454701115329908,-0.05058365758754879,0.160813928586399
2018-05-01,0.5942722347851759,-0.015564202334630406,0.2071450015721639
2018-06-01,0.3427098910833619,0.0038910505836575737,0.3798458097994373
2018-07-01,0.4536239041562209,-0.0058365758754861385,0.6874103230456562
2018-08-01,0.7902844079411956,-0.0330739299610896,0.6523567774724592
2018-09-01,0.3641959235937294,0.07587548638132258,0.6176888972173581
